Seq,AreaName,AreaCode
1,臺南市新營區,67000010
2,臺南市鹽水區,67000020
3,臺南市白河區,67000030
4,臺南市柳營區,67000040
5,臺南市後壁區,67000050
6,臺南市東山區,67000060
7,臺南市麻豆區,67000070
8,臺南市下營區,67000080
9,臺南市六甲區,67000090
10,臺南市官田區,67000100
11,臺南市大內區,67000110
12,臺南市佳里區,67000120
13,臺南市學甲區,67000130
14,臺南市西港區,67000140
15,臺南市七股區,67000150
16,臺南市將軍區,67000160
17,臺南市北門區,67000170
18,臺南市新化區,67000180
19,臺南市善化區,67000190
20,臺南市新市區,67000200
21,臺南市安定區,67000210
22,臺南市山上區,67000220
23,臺南市玉井區,67000230
24,臺南市楠西區,67000240
25,臺南市南化區,67000250
26,臺南市左鎮區,67000260
27,臺南市仁德區,67000270
28,臺南市歸仁區,67000280
29,臺南市關廟區,67000290
30,臺南市龍崎區,67000300
31,臺南市永康區,67000310
32,臺南市東區,67000320
33,臺南市南區,67000330
34,臺南市北區,67000340
35,臺南市安南區,67000350
36,臺南市安平區,67000360
37,臺南市中西區,67000370
