﻿諮詢地點,服務時段,縣市別代碼,地址-行政區域代碼,地址-村里,地址-街路門牌
將軍區衛生所,每週三上午9點到12點,67000,67000160,忠興里,185之6號
南化區衛生所,每週三下午2點到5點,67000,67000250,南化里,226之1號
東山區衛生所,每週三上午9點到12點,67000,67000060,東山里,236號
大內衛生所,每週二下午2點到5點,67000,67000110,大內里,2號
山上衛生所,每週四下午2點到5點,67000,67000220,山上里,35之2號
七股區衛生所,每週二下午2點到5點,67000,67000150,大埕里,379號
後壁衛生所,每週三上午9點到12點,67000,67000050,後壁里,3號
安定區衛生所,每週三下午2點到4點,67000,67000210,安定里,59號之1
柳營區衛生所,每週二下午2點到5點,67000,67000040,士林里,柳營54之5號
北門衛生所,每週二上午9點到12點,67000,67000170,永隆里,港北50號
佳里區衛生所,每週二下午2點到5點,67000,67000120,,進學路159號
衛生局林森辦公室,每週二晚上6點10分到9點10分,67000,67000320,,林森路一段418號
衛生局東興辦公室,每週二晚上6點到8點,67000,67000010,,東興路163號
東區衛生所,每週一早上9點到12點,67000,67000320,,林森路一段418號
麻豆區衛生所,每週一上午9點到12點,67000,67000070,,興國路11之1號
新化區衛生所,每週一上午9點到12點,67000,67000180,,健康路143號
六甲區衛生所,每週一下午2點到5點,67000,67000090,,中華路110號
新市區衛生所,每週一下午2點到5點,67000,67000200,,中興街12號
中西區衛生所,每週二上午9點到12點,67000,67000370,,環河街94號
北區衛生所,每週二下午2點到5點,67000,67000340,,西華街50號
關廟區衛生所,每週二下午2點到5點,67000,67000290,,中正路1000號
學甲區衛生所,每週二下午2點到5點,67000,67000130,,建國路38號
新營區衛生所,每週三上午9點到12點,67000,67000010,,三民路72號
下營區衛生所,每週三上午9點到12點,67000,67000080,,中山路二段137號
南區衛生所,每週三下午2點到5點,67000,67000330,,南和路6號
玉井區衛生所,每週三下午2點到5點,67000,67000230,,中正路5號
歸仁區衛生所,每週三下午2點到4點,67000,67000280,,中正北路1段1號
鹽水區衛生所,每週三下午2點到5點,67000,67000020,,武廟路1號
白河區衛生所,每週四上午9點到12點,67000,67000030,,國光路5號
官田區衛生所,每週四上午9點到12點,67000,67000100,,中山路一段128號
仁德區衛生所,每週四下午2點到5點,67000,67000270,,中山路606巷2號
安南區衛生所,每週四下午2點到5點,67000,67000350,,仁安路70號
善化區衛生所,每週四下午2點到5點,67000,67000190,,中山路200號
永康區衛生所,每週四下午2點到5點,67000,67000310,,文化路51號
安平區衛生所,每週五上午9點到12點,67000,67000360,,育平路310號
臺南地方法院,每週五下午2點到4點,67000,67000360,,健康路三段308號
楠西衛生所,每週三下午2點到5點,67000,67000240,,中正路226號
左鎮衛生所,每週二上午9點到12點,67000,67000260,中正里,172之15號
龍崎衛生所,每週二下午2點到5點,67000,67000300,崎頂里,新市子158號
西港衛生所,每週三下午2點到5點,67000,67000140,,中山路368號
鹽水心衛中心,每週一到週五上午8點到下午5點半,67000,67000020,,武廟路21號
善化心衛中心,每週一到週五上午8點到下午5點半,67000,67000190,,中山路377號2樓-請由中興路市場自治會入口進入
北區心衛中心,每週一到週五上午8點到下午5點半,67000,67000340,,公園北路102號
